outer_fold,selector,position,feature,feature_count
2,Natural_Global_20,12,tcp.ack_raw,20
2,Natural_Global_20,13,tcp.seq,20
2,Natural_Global_20,14,tcp.len,20
2,Natural_Global_20,15,tcp.checksum,20
2,Natural_Global_20,16,mqtt.protoname,20
2,Natural_Global_20,17,tcp.connection.syn,20
2,Natural_Global_20,18,tcp.connection.rst,20
2,Natural_Global_20,19,arp.opcode,20
2,Natural_Global_20,20,dns.qry.name,20
2,Class_Balanced_15,1,tcp.dstport,15
2,Class_Balanced_15,2,tcp.srcport,15
2,Class_Balanced_15,3,tcp.ack,15
2,Class_Balanced_15,4,http.referer,15
2,Class_Balanced_15,5,tcp.len,15
2,Class_Balanced_15,6,udp.stream,15
2,Class_Balanced_15,7,mqtt.conack.flags,15
2,Class_Balanced_15,8,http.request.method,15
2,Class_Balanced_15,9,icmp.seq_le,15
2,Class_Balanced_15,10,http.request.version,15
2,Class_Balanced_15,11,icmp.checksum,15
2,Class_Balanced_15,12,tcp.seq,15
2,Class_Balanced_15,13,tcp.flags,15
2,Class_Balanced_15,14,tcp.ack_raw,15
2,Class_Balanced_15,15,tcp.connection.rst,15
2,Stable_Balanced_Core,1,http.referer,14
2,Stable_Balanced_Core,2,http.request.method,14
2,Stable_Balanced_Core,3,http.request.version,14
2,Stable_Balanced_Core,4,icmp.checksum,14
2,Stable_Balanced_Core,5,icmp.seq_le,14
2,Stable_Balanced_Core,6,mqtt.conack.flags,14
2,Stable_Balanced_Core,7,tcp.ack,14
2,Stable_Balanced_Core,8,tcp.ack_raw,14
2,Stable_Balanced_Core,9,tcp.dstport,14
2,Stable_Balanced_Core,10,tcp.flags,14
2,Stable_Balanced_Core,11,tcp.len,14
2,Stable_Balanced_Core,12,tcp.seq,14
2,Stable_Balanced_Core,13,tcp.srcport,14
2,Stable_Balanced_Core,14,udp.stream,14
2,Stable_Minority_Only,1,arp.opcode,14
2,Stable_Minority_Only,2,http.request.method,14
2,Stable_Minority_Only,3,http.request.version,14
2,Stable_Minority_Only,4,icmp.checksum,14
2,Stable_Minority_Only,5,icmp.seq_le,14
2,Stable_Minority_Only,6,icmp.transmit_timestamp,14
2,Stable_Minority_Only,7,tcp.ack,14
2,Stable_Minority_Only,8,tcp.ack_raw,14
2,Stable_Minority_Only,9,tcp.dstport,14
2,Stable_Minority_Only,10,tcp.flags,14
2,Stable_Minority_Only,11,tcp.len,14
2,Stable_Minority_Only,12,tcp.srcport,14
2,Stable_Minority_Only,13,udp.port,14
2,Stable_Minority_Only,14,udp.time_delta,14
2,CS_SHAP_Union,1,arp.opcode,18
2,CS_SHAP_Union,2,http.referer,18
2,CS_SHAP_Union,3,http.request.method,18
2,CS_SHAP_Union,4,http.request.version,18
2,CS_SHAP_Union,5,icmp.checksum,18
2,CS_SHAP_Union,6,icmp.seq_le,18
2,CS_SHAP_Union,7,icmp.transmit_timestamp,18
2,CS_SHAP_Union,8,mqtt.conack.flags,18
2,CS_SHAP_Union,9,tcp.ack,18
2,CS_SHAP_Union,10,tcp.ack_raw,18
2,CS_SHAP_Union,11,tcp.dstport,18
2,CS_SHAP_Union,12,tcp.flags,18
2,CS_SHAP_Union,13,tcp.len,18
