selector,rank,feature,importance,outer_fold
Mutual_Information_19,34,udp.port,0.015458483484579233,2
Mutual_Information_19,35,arp.hw.size,0.01394033925719107,2
Mutual_Information_19,36,dns.qry.qu,0.012848409028761498,2
Mutual_Information_19,37,arp.opcode,0.012498763922879075,2
Mutual_Information_19,38,udp.time_delta,0.011391083743089059,2
Mutual_Information_19,39,dns.qry.name.len,0.006893576814208213,2
Mutual_Information_19,40,icmp.transmit_timestamp,0.002250810261791969,2
Mutual_Information_19,41,dns.retransmission,0.0,2
Mutual_Information_19,42,dns.retransmit_request,0.0,2
Random_Forest_Importance_19,1,tcp.srcport,0.11807093126186656,2
Random_Forest_Importance_19,2,tcp.ack,0.10394275672666516,2
Random_Forest_Importance_19,3,tcp.dstport,0.09659316012244597,2
Random_Forest_Importance_19,4,http.referer,0.07493190958238999,2
Random_Forest_Importance_19,5,tcp.len,0.07459999570414877,2
Random_Forest_Importance_19,6,tcp.seq,0.06268938130571716,2
Random_Forest_Importance_19,7,icmp.seq_le,0.05807251634158282,2
Random_Forest_Importance_19,8,http.request.version,0.05036786642663854,2
Random_Forest_Importance_19,9,udp.stream,0.046672457419546204,2
Random_Forest_Importance_19,10,tcp.ack_raw,0.037739982834039565,2
Random_Forest_Importance_19,11,http.request.method,0.03522139242243322,2
Random_Forest_Importance_19,12,tcp.flags,0.033840998446987076,2
Random_Forest_Importance_19,13,tcp.checksum,0.024545827557165882,2
Random_Forest_Importance_19,14,mqtt.protoname,0.023768146912435752,2
Random_Forest_Importance_19,15,mqtt.topic,0.023149499392769092,2
Random_Forest_Importance_19,16,icmp.checksum,0.023026129693588165,2
Random_Forest_Importance_19,17,mqtt.conack.flags,0.021484817907765262,2
Random_Forest_Importance_19,18,udp.time_delta,0.015489327523656253,2
Random_Forest_Importance_19,19,udp.port,0.013648153874794306,2
Random_Forest_Importance_19,20,http.content_length,0.013477743767352826,2
Random_Forest_Importance_19,21,tcp.connection.rst,0.013157079000551146,2
Random_Forest_Importance_19,22,tcp.flags.ack,0.008433218251396429,2
Random_Forest_Importance_19,23,tcp.connection.syn,0.006495802840454728,2
Random_Forest_Importance_19,24,http.response,0.004470150308809645,2
Random_Forest_Importance_19,25,dns.qry.name,0.0022180402887341404,2
Random_Forest_Importance_19,26,arp.opcode,0.0020432767581863884,2
Random_Forest_Importance_19,27,arp.hw.size,0.0018894595710638353,2
Random_Forest_Importance_19,28,icmp.transmit_timestamp,0.0015943259347827934,2
Random_Forest_Importance_19,29,dns.qry.qu,0.0015932623919246878,2
Random_Forest_Importance_19,30,tcp.connection.fin,0.0015791553049243632,2
Random_Forest_Importance_19,31,dns.qry.name.len,0.0012307392684949273,2
Random_Forest_Importance_19,32,tcp.connection.synack,0.0012019039661199185,2
Random_Forest_Importance_19,33,mqtt.msgtype,0.0006785661258575357,2
Random_Forest_Importance_19,34,mqtt.hdrflags,0.0006400905347380544,2
Random_Forest_Importance_19,35,mqtt.len,0.0005517600561439902,2
