outer_fold,selector,rank,feature,importance
3,Random_Forest_Importance_Matched,7,src_bytes,0.06724964336943863
3,Random_Forest_Importance_Matched,8,src_pkts,0.05901005363241238
3,Random_Forest_Importance_Matched,9,dst_pkts,0.05468288417713751
3,Random_Forest_Importance_Matched,10,dst_bytes,0.04530377632006682
3,Random_Forest_Importance_Matched,11,service,0.027254548928860072
3,Random_Forest_Importance_Matched,12,dns_rejected,0.017767888073066257
3,Random_Forest_Importance_Matched,13,proto,0.016690334691221116
3,Random_Forest_Importance_Matched,14,dns_RA,0.015544280152125754
3,Random_Forest_Importance_Matched,15,dns_AA,0.008205554285120225
3,Random_Forest_Importance_Matched,16,dns_RD,0.006854288928150603
3,Random_Forest_Importance_Matched,17,dns_qtype,0.006595236639092699
3,Random_Forest_Importance_Matched,18,dns_qclass,0.005257986484087631
3,Random_Forest_Importance_Matched,19,dns_rcode,0.004448632087812422
3,Random_Forest_Importance_Matched,20,missed_bytes,0.0015997726446700812
3,Random_Forest_Importance_Matched,21,ssl_established,0.00033182217496263987
3,Random_Forest_Importance_Matched,22,ssl_resumed,0.0003172831525663042
3,Random_Forest_Importance_Matched,23,ssl_version,0.00028614364141000105
3,Random_Forest_Importance_Matched,24,ssl_cipher,0.00026707076362928096
3,Random_Forest_Importance_Matched,25,weird_name,0.00013381652034770355
3,Random_Forest_Importance_Matched,26,http_trans_depth,0.00012911282901315168
3,Random_Forest_Importance_Matched,27,http_version,0.00012699363150640982
3,Random_Forest_Importance_Matched,28,weird_notice,0.00012279933792899397
3,Random_Forest_Importance_Matched,29,http_status_code,0.00011885724513066858
3,Random_Forest_Importance_Matched,30,http_method,0.0001135107136398615
3,Random_Forest_Importance_Matched,31,http_response_body_len,9.960578391953154e-05
3,Random_Forest_Importance_Matched,32,http_resp_mime_types,5.4628879127786464e-05
3,Random_Forest_Importance_Matched,33,http_orig_mime_types,6.2682787078195515e-06
3,Random_Forest_Importance_Matched,34,http_request_body_len,5.615306341479271e-06
4,Mutual_Information_Matched,1,src_ip_bytes,1.7928332162213172
4,Mutual_Information_Matched,2,dst_port,1.3202695786839804
4,Mutual_Information_Matched,3,dst_ip_bytes,1.250379446028766
4,Mutual_Information_Matched,4,src_port,1.0628260832657745
4,Mutual_Information_Matched,5,conn_state,1.0587047418773219
4,Mutual_Information_Matched,6,duration,0.9749052959159425
4,Mutual_Information_Matched,7,src_bytes,0.806137831802062
4,Mutual_Information_Matched,8,dst_bytes,0.751975550995228
4,Mutual_Information_Matched,9,src_pkts,0.6730564817897298
4,Mutual_Information_Matched,10,dst_pkts,0.6687247356193757
4,Mutual_Information_Matched,11,service,0.5116508938258653
4,Mutual_Information_Matched,12,proto,0.24634347464296047
4,Mutual_Information_Matched,13,dns_rejected,0.23666256967675103
4,Mutual_Information_Matched,14,dns_RA,0.21204515081401487
4,Mutual_Information_Matched,15,dns_qtype,0.19157165600318438
4,Mutual_Information_Matched,16,dns_RD,0.1865374957352448
4,Mutual_Information_Matched,17,dns_AA,0.17613192426491064
4,Mutual_Information_Matched,18,dns_qclass,0.171668874750039
4,Mutual_Information_Matched,19,dns_rcode,0.05320881139802536
4,Mutual_Information_Matched,20,missed_bytes,0.02424823006055421
4,Mutual_Information_Matched,21,ssl_resumed,0.00808196080394108
4,Mutual_Information_Matched,22,ssl_cipher,0.007999764522631292
4,Mutual_Information_Matched,23,ssl_established,0.00782801548972234
4,Mutual_Information_Matched,24,http_version,0.007350444564835357
4,Mutual_Information_Matched,25,ssl_version,0.007026312856272199
4,Mutual_Information_Matched,26,weird_notice,0.005497525681819493
4,Mutual_Information_Matched,27,http_response_body_len,0.005487634323690482
4,Mutual_Information_Matched,28,weird_name,0.0052801041423857775
4,Mutual_Information_Matched,29,http_method,0.005176502212760337
4,Mutual_Information_Matched,30,http_trans_depth,0.004186023432425134
4,Mutual_Information_Matched,31,http_orig_mime_types,0.0034490594402742936
4,Mutual_Information_Matched,32,http_status_code,0.0022089346501137364
4,Mutual_Information_Matched,33,http_request_body_len,0.0010643960567278121
4,Mutual_Information_Matched,34,http_resp_mime_types,0.0007650003154417995
4,Random_Forest_Importance_Matched,1,src_ip_bytes,0.16458777049346315
4,Random_Forest_Importance_Matched,2,dst_port,0.11455765210623733
4,Random_Forest_Importance_Matched,3,src_port,0.1049449722931496
4,Random_Forest_Importance_Matched,4,duration,0.1031207881044998
4,Random_Forest_Importance_Matched,5,conn_state,0.0960295378861179
4,Random_Forest_Importance_Matched,6,dst_ip_bytes,0.07921972464406339
4,Random_Forest_Importance_Matched,7,src_bytes,0.06900807246405968
4,Random_Forest_Importance_Matched,8,src_pkts,0.059429262703858426
4,Random_Forest_Importance_Matched,9,dst_pkts,0.05427903009376115
4,Random_Forest_Importance_Matched,10,dst_bytes,0.04378772372422662
4,Random_Forest_Importance_Matched,11,service,0.027839149684301994
4,Random_Forest_Importance_Matched,12,proto,0.018423456938993492
4,Random_Forest_Importance_Matched,13,dns_rejected,0.01745812207922433
4,Random_Forest_Importance_Matched,14,dns_RA,0.01349963797755704
