outer_fold,inner_fold,method,feature,importance,rank,minority_classes
1,3,Natural_Global,ssl_version,0.003947025164961815,22,mitm
1,3,Natural_Global,weird_name,0.000828900549095124,26,mitm
1,3,Natural_Global,weird_notice,0.00011346933024469763,31,mitm
1,3,Class_Balanced,conn_state,1.4384351968765259,1,mitm
1,3,Class_Balanced,dns_AA,0.024291351437568665,18,mitm
1,3,Class_Balanced,dns_RA,0.20083622634410858,12,mitm
1,3,Class_Balanced,dns_RD,0.05878031626343727,16,mitm
1,3,Class_Balanced,dns_qclass,0.00913352333009243,22,mitm
1,3,Class_Balanced,dns_qtype,0.04562968760728836,17,mitm
1,3,Class_Balanced,dns_rcode,0.06656583398580551,15,mitm
1,3,Class_Balanced,dns_rejected,0.10689671337604523,14,mitm
1,3,Class_Balanced,dst_bytes,0.40540391206741333,8,mitm
1,3,Class_Balanced,dst_ip_bytes,0.4142037332057953,7,mitm
1,3,Class_Balanced,dst_pkts,0.18426746129989624,13,mitm
1,3,Class_Balanced,dst_port,0.8757373094558716,4,mitm
1,3,Class_Balanced,duration,0.8246426582336426,5,mitm
1,3,Class_Balanced,http_method,0.00035369076067581773,28,mitm
1,3,Class_Balanced,http_orig_mime_types,0.0,34,mitm
1,3,Class_Balanced,http_request_body_len,1.2079171938239597e-05,33,mitm
1,3,Class_Balanced,http_resp_mime_types,9.875613613985479e-05,31,mitm
1,3,Class_Balanced,http_response_body_len,0.0008153980597853661,24,mitm
1,3,Class_Balanced,http_status_code,0.0017547754105180502,23,mitm
1,3,Class_Balanced,http_trans_depth,0.00017171587387565523,30,mitm
1,3,Class_Balanced,http_version,0.00039134296821430326,26,mitm
1,3,Class_Balanced,missed_bytes,0.009585400111973286,21,mitm
1,3,Class_Balanced,proto,0.28628402948379517,10,mitm
1,3,Class_Balanced,service,0.29570794105529785,9,mitm
1,3,Class_Balanced,src_bytes,0.565747082233429,6,mitm
1,3,Class_Balanced,src_ip_bytes,1.1522220373153687,2,mitm
1,3,Class_Balanced,src_pkts,0.24004118144512177,11,mitm
1,3,Class_Balanced,src_port,1.1054695844650269,3,mitm
1,3,Class_Balanced,ssl_cipher,0.012772813439369202,19,mitm
1,3,Class_Balanced,ssl_established,0.00018966470088344067,29,mitm
1,3,Class_Balanced,ssl_resumed,0.000672069494612515,25,mitm
1,3,Class_Balanced,ssl_version,0.009952257387340069,20,mitm
1,3,Class_Balanced,weird_name,0.00035971045144833624,27,mitm
1,3,Class_Balanced,weird_notice,1.643374707782641e-05,32,mitm
1,3,Minority_Diagnostic,conn_state,0.44251447916030884,7,mitm
1,3,Minority_Diagnostic,dns_AA,0.012538442388176918,18,mitm
1,3,Minority_Diagnostic,dns_RA,1.2671891450881958,1,mitm
1,3,Minority_Diagnostic,dns_RD,0.04220980778336525,15,mitm
1,3,Minority_Diagnostic,dns_qclass,0.012286500073969364,19,mitm
1,3,Minority_Diagnostic,dns_qtype,0.008358389139175415,20,mitm
1,3,Minority_Diagnostic,dns_rcode,0.001676803920418024,21,mitm
1,3,Minority_Diagnostic,dns_rejected,0.0356922410428524,17,mitm
1,3,Minority_Diagnostic,dst_bytes,0.8559824228286743,3,mitm
1,3,Minority_Diagnostic,dst_ip_bytes,0.5194905996322632,5,mitm
1,3,Minority_Diagnostic,dst_pkts,0.1936989426612854,11,mitm
1,3,Minority_Diagnostic,dst_port,0.14641952514648438,13,mitm
1,3,Minority_Diagnostic,duration,0.6012719869613647,4,mitm
1,3,Minority_Diagnostic,http_method,0.0,22,mitm
1,3,Minority_Diagnostic,http_orig_mime_types,0.0,22,mitm
1,3,Minority_Diagnostic,http_request_body_len,0.0,22,mitm
