outer_fold,selector,feature_count,record_type,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,training_seconds,inference_seconds,milliseconds_per_record,minority_classes,class_name,class_precision,class_recall,class_f1,class_support
2,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,password,0.9959421760081156,0.9894179894179894,0.9926693629929222,3969.0
2,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,ransomware,0.9992994746059545,1.0,0.9996496145760336,2853.0
2,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,scanning,0.9885057471264368,0.9932849852269675,0.9908896034297964,3723.0
2,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,xss,0.9639366363329963,0.9848484848484849,0.9742803610969171,2904.0
2,Stable_Balanced_Core,15,aggregate,0.9884506428415777,0.9640977429025753,0.9885676496516477,0.9699089902584799,0.9867765063886386,37.06231638600002,1.3416794119998485,0.03654607245586861,mitm,,,,,
2,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,backdoor,1.0,0.9997327632282202,0.9998663637578511,3742.0
2,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,ddos,0.9896699420508944,0.9827370527895922,0.9861913130805925,3997.0
2,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,dos,0.9838432451014094,0.9754601226993865,0.9796337497860688,2934.0
2,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,injection,0.9840546697038725,0.9737039819684448,0.9788519637462235,3993.0
2,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,mitm,0.6900826446280992,0.8028846153846154,0.7422222222222222,208.0
2,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,normal,0.9964260185847034,0.9970199070210991,0.9967228743371268,8389.0
2,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,password,0.9959421760081156,0.9894179894179894,0.9926693629929222,3969.0
2,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,ransomware,0.9992994746059545,1.0,0.9996496145760336,2853.0
2,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,scanning,0.9885057471264368,0.9932849852269675,0.9908896034297964,3723.0
2,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,xss,0.9639366363329963,0.9848484848484849,0.9742803610969171,2904.0
2,Stable_Minority_Only,15,aggregate,0.9890226628895185,0.9667605721552415,0.9891287776251283,0.9727693864739422,0.9874314710384493,41.91256901299994,1.0988960820000102,0.029932885214643993,mitm,,,,,
2,Stable_Minority_Only,15,per_class,,,,,,,,,mitm,backdoor,1.0,0.9997327632282202,0.9998663637578511,3742.0
2,Stable_Minority_Only,15,per_class,,,,,,,,,mitm,ddos,0.9896699420508944,0.9827370527895922,0.9861913130805925,3997.0
2,Stable_Minority_Only,15,per_class,,,,,,,,,mitm,dos,0.9855570839064649,0.9768234492160872,0.9811708319068813,2934.0
2,Stable_Minority_Only,15,per_class,,,,,,,,,mitm,injection,0.9845686820136605,0.9747057350363135,0.9796123835892273,3993.0
2,Stable_Minority_Only,15,per_class,,,,,,,,,mitm,mitm,0.7107438016528925,0.8269230769230769,0.7644444444444445,208.0
2,Stable_Minority_Only,15,per_class,,,,,,,,,mitm,normal,0.9971387696709585,0.9970199070210991,0.9970793348036001,8389.0
2,Stable_Minority_Only,15,per_class,,,,,,,,,mitm,password,0.9956962025316456,0.9909297052154195,0.9933072357620911,3969.0
2,Stable_Minority_Only,15,per_class,,,,,,,,,mitm,ransomware,0.9992994746059545,1.0,0.9996496145760336,2853.0
2,Stable_Minority_Only,15,per_class,,,,,,,,,mitm,scanning,0.9877136752136753,0.9932849852269675,0.9904914959153609,3723.0
2,Stable_Minority_Only,15,per_class,,,,,,,,,mitm,xss,0.9662390276839973,0.9855371900826446,0.9757927037163314,2904.0
2,CS_SHAP_Union,16,aggregate,0.9892405752887339,0.9676173260748338,0.9893472900862564,0.9738391966467177,0.9876811379538671,31.18024911099974,1.1463859039999988,0.031226462845935905,mitm,,,,,
2,CS_SHAP_Union,16,per_class,,,,,,,,,mitm,backdoor,1.0,0.9997327632282202,0.9998663637578511,3742.0
2,CS_SHAP_Union,16,per_class,,,,,,,,,mitm,ddos,0.9906730526846483,0.9832374280710533,0.9869412355600201,3997.0
2,CS_SHAP_Union,16,per_class,,,,,,,,,mitm,dos,0.9865794907088782,0.9771642808452624,0.9818493150684932,2934.0
2,CS_SHAP_Union,16,per_class,,,,,,,,,mitm,injection,0.984070796460177,0.9747057350363135,0.9793658782083543,3993.0
2,CS_SHAP_Union,16,per_class,,,,,,,,,mitm,mitm,0.7160493827160493,0.8365384615384616,0.7716186252771619,208.0
2,CS_SHAP_Union,16,per_class,,,,,,,,,mitm,normal,0.9972589679418424,0.9974967218977232,0.9973778307508939,8389.0
2,CS_SHAP_Union,16,per_class,,,,,,,,,mitm,password,0.995694022289767,0.9904257999496094,0.9930529240874069,3969.0
2,CS_SHAP_Union,16,per_class,,,,,,,,,mitm,ransomware,0.9992994746059545,1.0,0.9996496145760336,2853.0
2,CS_SHAP_Union,16,per_class,,,,,,,,,mitm,scanning,0.9887730553327987,0.9935535858178888,0.9911575562700965,3723.0
2,CS_SHAP_Union,16,per_class,,,,,,,,,mitm,xss,0.9652613827993255,0.9855371900826446,0.9752939171920258,2904.0
2,Mutual_Information_Matched,16,aggregate,0.9888864676400088,0.9658533588974493,0.9890034447151852,0.9721692899573903,0.9872761895763154,29.86647146400037,1.139088437999817,0.031027686805399243,mitm,,,,,
2,Mutual_Information_Matched,16,per_class,,,,,,,,,mitm,backdoor,1.0,0.9997327632282202,0.9998663637578511,3742.0
2,Mutual_Information_Matched,16,per_class,,,,,,,,,mitm,ddos,0.990176322418136,0.9834876157117839,0.9868206351198695,3997.0
2,Mutual_Information_Matched,16,per_class,,,,,,,,,mitm,dos,0.9852132049518569,0.976482617586912,0.9808284833960972,2934.0
2,Mutual_Information_Matched,16,per_class,,,,,,,,,mitm,injection,0.9843037974683544,0.9737039819684448,0.9789751982878006,3993.0
2,Mutual_Information_Matched,16,per_class,,,,,,,,,mitm,mitm,0.7008196721311475,0.8221153846153846,0.7566371681415929,208.0
2,Mutual_Information_Matched,16,per_class,,,,,,,,,mitm,normal,0.9974961249552879,0.9972583144594112,0.9973772055317119,8389.0
2,Mutual_Information_Matched,16,per_class,,,,,,,,,mitm,password,0.9954384186517993,0.9896699420508944,0.9925457991156033,3969.0
2,Mutual_Information_Matched,16,per_class,,,,,,,,,mitm,ransomware,0.9992994746059545,1.0,0.9996496145760336,2853.0
