fold,method,feature,importance,rank
2,Natural_Global,arp.opcode,0.037913885,19
2,Natural_Global,dns.qry.name,0.02193459,20
2,Natural_Global,dns.qry.name.len,0.00015418966,32
2,Natural_Global,dns.qry.qu,0.0,33
2,Natural_Global,dns.retransmission,0.0,33
2,Natural_Global,dns.retransmit_request,0.0,33
2,Natural_Global,http.content_length,0.018595476,21
2,Natural_Global,http.referer,1.1600395,1
2,Natural_Global,http.request.method,0.7231669,3
2,Natural_Global,http.request.version,0.5907212,4
2,Natural_Global,http.response,0.00056669104,30
2,Natural_Global,icmp.checksum,0.36058903,8
2,Natural_Global,icmp.seq_le,0.17792752,11
2,Natural_Global,icmp.transmit_timestamp,0.00074913545,28
2,Natural_Global,mqtt.conack.flags,0.41252214,7
2,Natural_Global,mqtt.conflag.cleansess,0.0,33
2,Natural_Global,mqtt.conflags,0.0,33
2,Natural_Global,mqtt.hdrflags,0.00038079696,31
2,Natural_Global,mqtt.len,0.0,33
2,Natural_Global,mqtt.msgtype,0.0,33
2,Natural_Global,mqtt.proto_len,0.0,33
2,Natural_Global,mqtt.protoname,0.09394803,16
2,Natural_Global,mqtt.topic,0.0135027245,22
2,Natural_Global,mqtt.topic_len,0.0,33
2,Natural_Global,mqtt.ver,0.0,33
2,Natural_Global,tcp.ack,0.49605885,6
2,Natural_Global,tcp.ack_raw,0.14649802,13
2,Natural_Global,tcp.checksum,0.10225393,15
2,Natural_Global,tcp.connection.fin,0.010342839,24
2,Natural_Global,tcp.connection.rst,0.0519498,18
2,Natural_Global,tcp.connection.syn,0.054738186,17
2,Natural_Global,tcp.connection.synack,0.011404362,23
2,Natural_Global,tcp.dstport,0.5758693,5
2,Natural_Global,tcp.flags,0.17877108,10
2,Natural_Global,tcp.flags.ack,0.003116242,26
2,Natural_Global,tcp.len,0.15068987,12
2,Natural_Global,tcp.seq,0.14226836,14
2,Natural_Global,tcp.srcport,0.92491215,2
2,Natural_Global,udp.port,0.00074377115,29
2,Natural_Global,udp.stream,0.3107429,9
2,Natural_Global,udp.time_delta,0.00212626,27
2,Class_Balanced,arp.hw.size,0.0039557917,28
2,Class_Balanced,arp.opcode,0.023627859,24
2,Class_Balanced,dns.qry.name,0.051409718,22
2,Class_Balanced,dns.qry.name.len,0.0027473222,30
2,Class_Balanced,dns.qry.qu,0.0,33
2,Class_Balanced,dns.retransmission,0.0,33
2,Class_Balanced,dns.retransmit_request,0.0,33
2,Class_Balanced,http.content_length,0.06707673,21
2,Class_Balanced,http.referer,0.7338087,4
2,Class_Balanced,http.request.method,0.39103666,9
2,Class_Balanced,http.request.version,0.31264797,10
2,Class_Balanced,http.response,0.0012674464,31
2,Class_Balanced,icmp.checksum,0.26345515,12
2,Class_Balanced,icmp.seq_le,0.39416522,8
2,Class_Balanced,icmp.transmit_timestamp,0.0065077534,27
2,Class_Balanced,mqtt.conack.flags,0.41611522,7
2,Class_Balanced,mqtt.conflag.cleansess,0.0,33
2,Class_Balanced,mqtt.conflags,0.0,33
2,Class_Balanced,mqtt.hdrflags,0.0004009448,32
2,Class_Balanced,mqtt.len,0.0,33
2,Class_Balanced,mqtt.msgtype,0.0,33
2,Class_Balanced,mqtt.proto_len,0.0,33
2,Class_Balanced,mqtt.protoname,0.094285734,18
2,Class_Balanced,mqtt.topic,0.014032209,26
2,Class_Balanced,mqtt.topic_len,0.0,33
2,Class_Balanced,mqtt.ver,0.0,33
2,Class_Balanced,tcp.ack,0.89704794,2
2,Class_Balanced,tcp.ack_raw,0.1739728,14
2,Class_Balanced,tcp.checksum,0.10749892,16
2,Class_Balanced,tcp.connection.fin,0.02476777,23
2,Class_Balanced,tcp.connection.rst,0.10551693,17
2,Class_Balanced,tcp.connection.syn,0.12531707,15
2,Class_Balanced,tcp.connection.synack,0.017179148,25
2,Class_Balanced,tcp.dstport,0.9014226,1
2,Class_Balanced,tcp.flags,0.20756134,13
2,Class_Balanced,tcp.flags.ack,0.003371235,29
2,Class_Balanced,tcp.len,0.71432835,5
2,Class_Balanced,tcp.seq,0.28095198,11
2,Class_Balanced,tcp.srcport,0.8406127,3
2,Class_Balanced,udp.port,0.07216813,19
2,Class_Balanced,udp.stream,0.45711747,6
2,Class_Balanced,udp.time_delta,0.06804608,20
2,Minority_Diagnostic,arp.hw.size,0.00329708,22
2,Minority_Diagnostic,arp.opcode,0.044358008,12
2,Minority_Diagnostic,dns.qry.name,0.00068253325,25
2,Minority_Diagnostic,dns.qry.name.len,0.01996396,17
2,Minority_Diagnostic,dns.qry.qu,0.0,27
2,Minority_Diagnostic,dns.retransmission,0.0,27
2,Minority_Diagnostic,dns.retransmit_request,0.0,27
