method,feature,importance,rank,outer_fold,inner_fold
Natural_Global,udp.time_delta,0.002549571,27,1,2
Class_Balanced,arp.hw.size,0.0033541434,29,1,2
Class_Balanced,arp.opcode,0.021133684,24,1,2
Class_Balanced,dns.qry.name,0.055394676,21,1,2
Class_Balanced,dns.qry.name.len,0.0,32,1,2
Class_Balanced,dns.qry.qu,0.0,32,1,2
Class_Balanced,dns.retransmission,0.0,32,1,2
Class_Balanced,dns.retransmit_request,0.0,32,1,2
Class_Balanced,http.content_length,0.07073041,19,1,2
Class_Balanced,http.referer,0.7231687,4,1,2
Class_Balanced,http.request.method,0.40445396,8,1,2
Class_Balanced,http.request.version,0.3031569,10,1,2
Class_Balanced,http.response,0.0011976832,30,1,2
Class_Balanced,icmp.checksum,0.27984518,12,1,2
Class_Balanced,icmp.seq_le,0.3530676,9,1,2
Class_Balanced,icmp.transmit_timestamp,0.007389403,27,1,2
Class_Balanced,mqtt.conack.flags,0.4318995,6,1,2
Class_Balanced,mqtt.conflag.cleansess,0.0,32,1,2
Class_Balanced,mqtt.conflags,0.0,32,1,2
Class_Balanced,mqtt.hdrflags,0.0,32,1,2
Class_Balanced,mqtt.len,0.0,32,1,2
Class_Balanced,mqtt.msgtype,0.00054022635,31,1,2
Class_Balanced,mqtt.proto_len,0.0,32,1,2
Class_Balanced,mqtt.protoname,0.070556276,20,1,2
Class_Balanced,mqtt.topic,0.016187886,26,1,2
Class_Balanced,mqtt.topic_len,0.0,32,1,2
Class_Balanced,mqtt.ver,0.0,32,1,2
Class_Balanced,tcp.ack,0.904542,1,1,2
Class_Balanced,tcp.ack_raw,0.20705064,13,1,2
Class_Balanced,tcp.checksum,0.11799445,17,1,2
Class_Balanced,tcp.connection.fin,0.02676233,23,1,2
Class_Balanced,tcp.connection.rst,0.13386543,16,1,2
Class_Balanced,tcp.connection.syn,0.102130316,18,1,2
Class_Balanced,tcp.connection.synack,0.016694007,25,1,2
Class_Balanced,tcp.dstport,0.8240223,3,1,2
Class_Balanced,tcp.flags,0.19783112,14,1,2
Class_Balanced,tcp.flags.ack,0.0051713125,28,1,2
Class_Balanced,tcp.len,0.58067584,5,1,2
Class_Balanced,tcp.seq,0.29461622,11,1,2
Class_Balanced,tcp.srcport,0.8328956,2,1,2
Class_Balanced,udp.port,0.050403815,22,1,2
Class_Balanced,udp.stream,0.4138742,7,1,2
Class_Balanced,udp.time_delta,0.13676478,15,1,2
Minority_Diagnostic,arp.hw.size,0.0035901063,22,1,2
Minority_Diagnostic,arp.opcode,0.03292902,14,1,2
Minority_Diagnostic,dns.qry.name,0.0016830228,23,1,2
Minority_Diagnostic,dns.qry.name.len,0.0,24,1,2
Minority_Diagnostic,dns.qry.qu,0.0,24,1,2
Minority_Diagnostic,dns.retransmission,0.0,24,1,2
Minority_Diagnostic,dns.retransmit_request,0.0,24,1,2
Minority_Diagnostic,http.content_length,0.0,24,1,2
Minority_Diagnostic,http.referer,0.010577784,20,1,2
Minority_Diagnostic,http.request.method,0.24389032,10,1,2
