classifier,metric,reference,comparator,reference_mean,comparator_mean,mean_paired_difference,cohen_dz,exact_sign_flip_p,reference_wins,ties,reference_losses,holm_p_within_classifier_metric
Linear_Logistic_SGD_Scaled,accuracy,CS_SHAP_Union,Class_Balanced_15,0.7969153087176506,0.8025686295026766,-0.005653320785025962,-0.16186065063913443,0.75,3,0,2,0.9375
Linear_Logistic_SGD_Scaled,accuracy,CS_SHAP_Union,Full_42,0.7969153087176506,0.8290202254753589,-0.032104916757708345,-1.4340079532261025,0.0625,0,0,5,0.4375
Linear_Logistic_SGD_Scaled,accuracy,CS_SHAP_Union,Mutual_Information_19,0.7969153087176506,0.7746201954326639,0.02229511328498668,0.908566431962139,0.1875,4,0,1,0.9375
Linear_Logistic_SGD_Scaled,accuracy,CS_SHAP_Union,Natural_Global_20,0.7969153087176506,0.8137799132229333,-0.016864604505282665,-0.5449436659338658,0.25,2,0,3,0.9375
Linear_Logistic_SGD_Scaled,accuracy,CS_SHAP_Union,Random_Forest_Importance_19,0.7969153087176506,0.7773753998101529,0.019539908907497704,0.8067688962059076,0.1875,4,0,1,0.9375
Linear_Logistic_SGD_Scaled,accuracy,CS_SHAP_Union,Stable_Balanced_Core,0.7969153087176506,0.777398802666345,0.019516506051305636,0.6424743265985475,0.1875,4,0,1,0.9375
Linear_Logistic_SGD_Scaled,accuracy,CS_SHAP_Union,Stable_Minority_Only,0.7969153087176506,0.6082188226367105,0.1886964860809402,10.555597327515295,0.0625,5,0,0,0.4375
Linear_Logistic_SGD_Scaled,macro_f1,CS_SHAP_Union,Class_Balanced_15,0.740530375339927,0.7526841126782371,-0.012153737338310067,-0.2396995306982064,0.5625,2,0,3,1.0
Linear_Logistic_SGD_Scaled,macro_f1,CS_SHAP_Union,Full_42,0.740530375339927,0.7885097722283398,-0.047979396888412774,-1.2848965250357316,0.0625,0,0,5,0.4375
Linear_Logistic_SGD_Scaled,macro_f1,CS_SHAP_Union,Mutual_Information_19,0.740530375339927,0.7258650480729224,0.014665327267004601,0.3890797767785756,0.4375,4,0,1,1.0
Linear_Logistic_SGD_Scaled,macro_f1,CS_SHAP_Union,Natural_Global_20,0.740530375339927,0.7716382412012772,-0.031107865861350236,-0.6761619729559273,0.25,2,0,3,1.0
Linear_Logistic_SGD_Scaled,macro_f1,CS_SHAP_Union,Random_Forest_Importance_19,0.740530375339927,0.7283587753051657,0.01217160003476132,0.3271440928438623,0.5,3,0,2,1.0
Linear_Logistic_SGD_Scaled,macro_f1,CS_SHAP_Union,Stable_Balanced_Core,0.740530375339927,0.7188827236001524,0.0216476517397745,0.5494662914804543,0.3125,4,0,1,1.0
Linear_Logistic_SGD_Scaled,macro_f1,CS_SHAP_Union,Stable_Minority_Only,0.740530375339927,0.5503719102181901,0.190158465121737,7.255235396699501,0.0625,5,0,0,0.4375
Linear_Logistic_SGD_Scaled,balanced_accuracy,CS_SHAP_Union,Class_Balanced_15,0.758122968072689,0.7671286097672515,-0.009005641694562416,-0.22970065315930158,0.5625,2,0,3,0.9375
Linear_Logistic_SGD_Scaled,balanced_accuracy,CS_SHAP_Union,Full_42,0.758122968072689,0.80583499249434,-0.04771202442165099,-1.3967491627202968,0.0625,0,0,5,0.4375
Linear_Logistic_SGD_Scaled,balanced_accuracy,CS_SHAP_Union,Mutual_Information_19,0.758122968072689,0.7382218725040639,0.01990109556862505,0.7051760540354847,0.1875,4,0,1,0.9375
Linear_Logistic_SGD_Scaled,balanced_accuracy,CS_SHAP_Union,Natural_Global_20,0.758122968072689,0.7936214670497079,-0.035498498977018865,-0.8338523451382506,0.1875,1,0,4,0.9375
Linear_Logistic_SGD_Scaled,balanced_accuracy,CS_SHAP_Union,Random_Forest_Importance_19,0.758122968072689,0.7401177218671884,0.018005246205500657,0.6672103885813706,0.25,3,0,2,0.9375
Linear_Logistic_SGD_Scaled,balanced_accuracy,CS_SHAP_Union,Stable_Balanced_Core,0.758122968072689,0.7368516518052197,0.021271316267469233,0.5975595112995526,0.25,4,0,1,0.9375
Linear_Logistic_SGD_Scaled,balanced_accuracy,CS_SHAP_Union,Stable_Minority_Only,0.758122968072689,0.5772958171985312,0.18082715087415785,11.798902952648907,0.0625,5,0,0,0.4375
Linear_Logistic_SGD_Scaled,mcc,CS_SHAP_Union,Class_Balanced_15,0.7802532382691616,0.7866364202788333,-0.006383182009671762,-0.1748361942329351,0.6875,2,0,3,0.75
Linear_Logistic_SGD_Scaled,mcc,CS_SHAP_Union,Full_42,0.7802532382691616,0.8143859962058657,-0.034132757936704096,-1.479865059658581,0.0625,0,0,5,0.4375
Linear_Logistic_SGD_Scaled,mcc,CS_SHAP_Union,Mutual_Information_19,0.7802532382691616,0.7557036767622003,0.024549561506961193,0.9747077663246096,0.125,4,0,1,0.625
Linear_Logistic_SGD_Scaled,mcc,CS_SHAP_Union,Natural_Global_20,0.7802532382691616,0.7984898072990502,-0.018236569029888527,-0.5605710016292654,0.25,2,0,3,0.75
Linear_Logistic_SGD_Scaled,mcc,CS_SHAP_Union,Random_Forest_Importance_19,0.7802532382691616,0.7585618015609896,0.02169143670817193,0.8636949708820161,0.1875,4,0,1,0.75
Linear_Logistic_SGD_Scaled,mcc,CS_SHAP_Union,Stable_Balanced_Core,0.7802532382691616,0.7597229568094249,0.020530281459736587,0.6384696589069779,0.1875,4,0,1,0.75
Linear_Logistic_SGD_Scaled,mcc,CS_SHAP_Union,Stable_Minority_Only,0.7802532382691616,0.5747576066083028,0.20549563166085888,11.348629940463583,0.0625,5,0,0,0.4375
